chrom	start	end	stain	ISV_loss	ISV_gain
chr1	108000000	109000000	gneg	0.96829265	0.1798255
chr1	109000000	110000000	gneg	0.99861515	0.99303365
chr1	110000000	111000000	gneg	0.9725643	0.98095787
chr1	112000000	113000000	gpos50	0.99901855	0.9685572
chr1	113000000	114000000	gpos50	0.9791572	0.7524637
chr1	114000000	115000000	gpos50	0.95436054	0.92436075
chr1	116000000	117000000	gneg	0.9963833	0.9650162
chr1	118000000	119000000	gpos50	0.96853596	0.4868024
chr1	119000000	120000000	gpos50	0.98004514	0.93557346
chr1	122000000	123000000	acen	0.0012674056	0.0020181802
chr1	124000000	125000000	acen	0.0012674056	0.0020181802
chr1	126000000	127000000	gvar	0.0012674056	0.0020181802
chr1	127000000	128000000	gvar	0.0012674056	0.0020181802
chr1	128000000	129000000	gvar	0.0012674056	0.0020181802
chr1	129000000	130000000	gvar	0.0012674056	0.0020181802
chr1	130000000	131000000	gvar	0.0012674056	0.0020181802
chr1	131000000	132000000	gvar	0.0012674056	0.0020181802
chr1	132000000	133000000	gvar	0.0012674056	0.0020181802
chr1	133000000	134000000	gvar	0.0012674056	0.0020181802
chr1	134000000	135000000	gvar	0.0012674056	0.0020181802
chr1	135000000	136000000	gvar	0.0012674056	0.0020181802
chr1	136000000	137000000	gvar	0.0012674056	0.0020181802
chr1	137000000	138000000	gvar	0.0012674056	0.0020181802
chr1	138000000	139000000	gvar	0.0012674056	0.0020181802
chr1	139000000	140000000	gvar	0.0012674056	0.0020181802
chr1	140000000	141000000	gvar	0.0012674056	0.0020181802
chr1	141000000	142000000	gvar	0.0012674056	0.0020181802
chr1	142000000	143000000	gvar	0.0012674056	0.0020181802
chr1	144000000	145000000	gneg	0.06268899	0.056191605
chr1	145000000	146000000	gneg	0.98077524	0.6358082
chr1	146000000	147000000	gneg	0.86877024	0.11812356
chr1	148000000	149000000	gpos50	0.092655025	0.22446728
chr1	149000000	150000000	gpos50	0.9797807	0.12861519
chr1	151000000	152000000	gneg	0.9989231	0.994753
chr1	152000000	153000000	gneg	0.982396	0.9427187
chr1	153000000	154000000	gneg	0.9835451	0.96304554
chr1	154000000	155000000	gneg	0.9982216	0.9905346
chr1	157000000	158000000	gneg	0.7579557	0.2947027
chr1	158000000	159000000	gneg	0.100695245	0.018731914
chr1	161000000	162000000	gneg	0.9993405	0.9723778
chr1	162000000	163000000	gneg	0.9922963	0.5978045
chr1	163000000	164000000	gneg	0.9846309	0.16281796
chr1	164000000	165000000	gneg	0.9960932	0.8000166
chr1	166000000	167000000	gpos50	0.06151488	0.0020474254
chr1	168000000	169000000	gneg	0.9450337	0.20259155
chr1	169000000	170000000	gneg	0.9832645	0.8637823
chr1	171000000	172000000	gpos75	0.8929743	0.52593213
chr1	172000000	173000000	gpos75	0.989813	0.89661837
chr1	173000000	174000000	gneg	0.97724366	0.62058216
chr1	174000000	175000000	gneg	0.74531376	0.14607492
chr1	175000000	176000000	gneg	0.79713243	0.086391404
chr1	177000000	178000000	gpos50	0.8822995	0.44216996
chr1	178000000	179000000	gpos50	0.83664685	0.39315373
chr1	179000000	180000000	gpos50	0.91748965	0.20579174
chr1	181000000	182000000	gneg	0.97414124	0.92116463
chr1	182000000	183000000	gneg	0.9958276	0.9090987
chr1	183000000	184000000	gneg	0.99650663	0.57943046
chr1	184000000	185000000	gneg	0.98240364	0.8038542
chr1	186000000	187000000	gpos100	0.99190485	0.8607728
chr1	187000000	188000000	gpos100	0.24262534	0.011889943
chr1	188000000	189000000	gpos100	0.2840849	0.003509645
chr1	189000000	190000000	gpos100	0.04427264	0.0022269557
chr1	191000000	192000000	gneg	0.048935514	0.041966137
chr1	192000000	193000000	gneg	0.9569283	0.052984238
chr1	194000000	195000000	gpos100	0.05649545	0.012042718
chr1	195000000	196000000	gpos100	0.081547104	0.06600238
chr1	196000000	197000000	gpos100	0.96261454	0.17814896
chr1	197000000	198000000	gpos100	0.9628691	0.5719081
chr1	199000000	200000000	gneg	0.5744309	0.0094000595
chr1	200000000	201000000	gneg	0.9971341	0.77526045
chr1	201000000	202000000	gneg	0.9982955	0.9963356
chr1	202000000	203000000	gneg	0.99927944	0.9615352
chr1	203000000	204000000	gneg	0.99182713	0.8889013
chr1	204000000	205000000	gneg	0.99749434	0.98803
chr1	205000000	206000000	gneg	0.99882776	0.98192155
chr1	206000000	207000000	gneg	0.9756624	0.2931983
chr1	208000000	209000000	gpos25	0.92477304	0.68172145
chr1	209000000	210000000	gpos25	0.9994898	0.9945117
chr1	210000000	211000000	gpos25	0.93528616	0.2748795
chr1	212000000	213000000	gneg	0.9905315	0.9649062
chr1	213000000	214000000	gneg	0.911575	0.17925477
chr1	215000000	216000000	gpos100	0.86269474	0.5902763
chr1	216000000	217000000	gpos100	0.6259704	0.3814221
chr1	217000000	218000000	gpos100	0.6752988	0.3111034
chr1	218000000	219000000	gpos100	0.9775378	0.2435933
chr1	219000000	220000000	gpos100	0.9634035	0.1489149
chr1	220000000	221000000	gpos100	0.947897	0.6147725
chr1	221000000	222000000	gpos100	0.95626074	0.07466192
chr1	222000000	223000000	gpos100	0.7785794	0.49206835
chr1	225000000	226000000	gpos25	0.99681693	0.75224066
chr1	227000000	228000000	gneg	0.0113307545	0.0023874796
chr1	228000000	229000000	gneg	0.99681735	0.9878715
chr1	229000000	230000000	gneg	0.9776233	0.7124689
chr1	231000000	232000000	gpos50	0.99893373	0.9902142
chr1	232000000	233000000	gpos50	0.9737577	0.9418184
chr1	233000000	234000000	gpos50	0.9517396	0.59117025
chr1	235000000	236000000	gneg	0.99115926	0.5059349
chr1	237000000	238000000	gpos75	0.9143692	0.03995978
chr1	238000000	239000000	gpos75	0.10086683	0.01365069
chr1	239000000	240000000	gpos75	0.9485807	0.03517728
chr1	240000000	241000000	gpos75	0.8311075	0.065859705
chr1	241000000	242000000	gpos75	0.9930447	0.020835724
chr1	242000000	243000000	gpos75	0.30747798	0.015781894
chr1	244000000	245000000	gneg	0.9991291	0.7852533
chr1	245000000	246000000	gneg	0.9394233	0.11012662
chr1	246000000	247000000	gneg	0.6230845	0.0693933
chr1	247000000	248000000	gneg	0.75263906	0.22429366
chr2	0	1000000	gneg	0.58094597	0.70385724
chr2	1000000	2000000	gneg	0.99837303	0.9369667
chr2	2000000	3000000	gneg	0.9954283	0.34027177
chr2	3000000	4000000	gneg	0.9924843	0.9850476
chr2	5000000	6000000	gpos50	0.9966845	0.36364785
chr2	7000000	8000000	gneg	0.9575079	0.5521703
chr2	8000000	9000000	gneg	0.9956464	0.609761
chr2	9000000	10000000	gneg	0.9844775	0.5093063
chr2	10000000	11000000	gneg	0.9882876	0.96255684
chr2	11000000	12000000	gneg	0.9846473	0.97010744
chr2	12000000	13000000	gpos75	0.9746021	0.9382094
chr2	13000000	14000000	gpos75	0.18221667	0.008904749
chr2	14000000	15000000	gpos75	0.69803953	0.14426437
chr2	15000000	16000000	gpos75	0.99768615	0.36122847
chr2	17000000	18000000	gneg	0.87172437	0.16478339
chr2	18000000	19000000	gneg	0.94509125	0.5614746
chr2	19000000	20000000	gpos75	0.9949811	0.743446
chr2	20000000	21000000	gpos75	0.98938084	0.552689
chr2	21000000	22000000	gpos75	0.99622005	0.43213436
chr2	22000000	23000000	gpos75	0.06535609	0.00426637
chr2	24000000	25000000	gneg	0.9836072	0.67167664
chr2	25000000	26000000	gneg	0.99692875	0.53501815
chr2	26000000	27000000	gneg	0.99613404	0.981658
chr2	28000000	29000000	gpos25	0.9870552	0.71041137
chr2	30000000	31000000	gneg	0.93905646	0.12557267
chr2	32000000	33000000	gpos75	0.9981036	0.73633075
chr2	33000000	34000000	gpos75	0.85431755	0.58385426
chr2	34000000	35000000	gpos75	0.033291347	0.0064507364
chr2	35000000	36000000	gpos75	0.13835503	0.007359932
chr2	37000000	38000000	gneg	0.99242896	0.90616226
chr2	39000000	40000000	gpos50	0.9722901	0.81602895
chr2	40000000	41000000	gpos50	0.96234405	0.0021199146
chr2	42000000	43000000	gneg	0.9133372	0.43759862
chr2	43000000	44000000	gneg	0.9983382	0.7975319
chr2	44000000	45000000	gneg	0.9898851	0.8810633
chr2	45000000	46000000	gneg	0.9834848	0.8039267
chr2	46000000	47000000	gneg	0.99593	0.99516994
chr2	48000000	49000000	gpos100	0.9851917	0.7274547
chr2	49000000	50000000	gpos100	0.99131787	0.3696186
chr2	50000000	51000000	gpos100	0.99595153	0.6680552
chr2	51000000	52000000	gpos100	0.94949865	0.021947498
chr2	53000000	54000000	gneg	0.9461013	0.073126644
chr2	55000000	56000000	gpos100	0.991954	0.58508533
chr2	56000000	57000000	gpos100	0.73950195	0.005094733
chr2	57000000	58000000	gpos100	0.36387578	0.0025006845
chr2	58000000	59000000	gpos100	0.95970106	0.47538167
chr2	59000000	60000000	gpos100	0.9445421	0.0657177
chr2	60000000	61000000	gpos100	0.98294145	0.58058953
chr2	61000000	62000000	gneg	0.99032915	0.22475392
chr2	62000000	63000000	gneg	0.51905084	0.061697308
chr2	64000000	65000000	gpos50	0.9735788	0.85340166
chr2	65000000	66000000	gpos50	0.9771802	0.91085863
chr2	66000000	67000000	gpos50	0.9654795	0.90271544
chr2	67000000	68000000	gpos50	0.95356816	0.71125937
chr2	69000000	70000000	gneg	0.99337065	0.29470557
chr2	70000000	71000000	gneg	0.9972487	0.9710615
chr2	72000000	73000000	gpos50	0.99373794	0.9006823
chr2	75000000	76000000	gpos100	0.85459596	0.7214654
chr2	76000000	77000000	gpos100	0.322522	0.0022226125
chr2	77000000	78000000	gpos100	0.5816836	0.036951397
chr2	78000000	79000000	gpos100	0.029419867	0.029019924
chr2	79000000	80000000	gpos100	0.8576415	0.23867323
chr2	80000000	81000000	gpos100	0.8356766	0.29969513
chr2	81000000	82000000	gpos100	0.023531865	0.003658793
chr2	82000000	83000000	gpos100	0.042246267	0.0012244583
chr2	84000000	85000000	gneg	0.31344408	0.025018623
chr2	85000000	86000000	gneg	0.9986675	0.9771642
chr2	86000000	87000000	gneg	0.9957558	0.94747317
chr2	87000000	88000000	gneg	0.20467636	0.34442502
chr2	88000000	89000000	gneg	0.996846	0.97496223
chr2	89000000	90000000	gneg	0.010806704	0.0015173416
chr2	90000000	91000000	gneg	0.0052504493	0.0006463958
chr2	92000000	93000000	acen	0.0012119146	0.0008138368
chr2	94000000	95000000	acen	0.0040683327	0.0006715434
chr2	95000000	96000000	acen	0.07122244	0.019495586
chr2	96000000	97000000	gneg	0.99378324	0.98560876
chr2	97000000	98000000	gneg	0.38750365	0.14036095
chr2	98000000	99000000	gneg	0.9853858	0.6038343
chr2	99000000	100000000	gneg	0.955837	0.3878034
chr2	100000000	101000000	gneg	0.93586445	0.6363489
chr2	101000000	102000000	gneg	0.9184288	0.1762344
chr2	103000000	104000000	gpos50	0.70918226	0.0031715822
chr2	104000000	105000000	gpos50	0.42756787	0.55829567
chr2	107000000	108000000	gpos25	0.83219236	0.07451298
chr2	109000000	110000000	gneg	0.95556945	0.28244436
chr2	110000000	111000000	gneg	0.9780994	0.68161285
chr2	111000000	112000000	gneg	0.9850048	0.70749927
chr2	113000000	114000000	gpos50	0.9981628	0.98929274
chr2	114000000	115000000	gpos50	0.20390217	0.030691303
chr2	115000000	116000000	gpos50	0.23819602	0.008675334
chr2	116000000	117000000	gpos50	0.02086583	0.0006894022
chr2	117000000	118000000	gpos50	0.4304374	0.0782617
chr2	119000000	120000000	gneg	0.98369986	0.975226
chr2	120000000	121000000	gneg	0.9816636	0.51045275
chr2	122000000	123000000	gpos50	0.0904209	0.0068247793
chr2	123000000	124000000	gpos50	0.21561712	0.0009875387
chr2	124000000	125000000	gpos50	0.2544856	0.027031597
chr2	125000000	126000000	gpos50	0.0062517226	0.0005279578
chr2	126000000	127000000	gpos50	0.91184336	0.07366537
chr2	127000000	128000000	gpos50	0.99817157	0.99073833
chr2	128000000	129000000	gpos50	0.71120954	0.30337787
chr2	130000000	131000000	gneg	0.483038	0.20378646
chr2	132000000	133000000	gpos25	0.6350716	0.08213393
chr2	133000000	134000000	gpos25	0.865557	0.8733106
chr2	135000000	136000000	gneg	0.9859239	0.4997635
chr2	137000000	138000000	gpos100	0.8129038	0.39520654
chr2	138000000	139000000	gpos100	0.7468278	0.041148607
chr2	139000000	140000000	gpos100	0.21017389	0.027986804
chr2	140000000	141000000	gpos100	0.769937	0.03414565
chr2	142000000	143000000	gneg	0.73016036	0.20039399
chr2	144000000	145000000	gpos100	0.9940256	0.3657372
chr2	145000000	146000000	gpos100	0.62884843	0.6094612
chr2	146000000	147000000	gpos100	0.5094891	0.005255323
chr2	148000000	149000000	gneg	0.99599504	0.6963977
chr2	150000000	151000000	gneg	0.93312126	0.85807645
chr2	151000000	152000000	gneg	0.99474984	0.6305857
chr2	152000000	153000000	gneg	0.9363921	0.1508698
chr2	153000000	154000000	gneg	0.43462592	0.013168777
chr2	154000000	155000000	gpos75	0.5390721	0.040412575
chr2	155000000	156000000	gpos75	0.17690457	0.00994982
chr2	156000000	157000000	gpos75	0.95978135	0.6169861
chr2	157000000	158000000	gpos75	0.9451896	0.4708838
chr2	159000000	160000000	gneg	0.8533699	0.07815914
chr2	160000000	161000000	gneg	0.9931767	0.7006635
chr2	161000000	162000000	gneg	0.93018496	0.013032114
chr2	163000000	164000000	gpos75	0.86829454	0.13169189
chr2	164000000	165000000	gpos75	0.87416345	0.06125939
chr2	165000000	166000000	gpos75	0.9986621	0.9407144
chr2	166000000	167000000	gpos75	0.9869609	0.6960926
chr2	167000000	168000000	gpos75	0.869257	0.14819269
chr2	169000000	170000000	gneg	0.9582643	0.3977876
chr2	170000000	171000000	gneg	0.9297262	0.09231496
chr2	171000000	172000000	gneg	0.9948544	0.07109601
chr2	172000000	173000000	gneg	0.9900483	0.89248884
chr2	173000000	174000000	gneg	0.6757721	0.09893634
chr2	174000000	175000000	gneg	0.99792695	0.42988873
chr2	175000000	176000000	gneg	0.90906674	0.28442892
chr2	176000000	177000000	gneg	0.99807066	0.9327376
chr2	178000000	179000000	gpos50	0.99556124	0.95574987
chr2	180000000	181000000	gneg	0.8236208	0.10191741
chr2	181000000	182000000	gneg	0.9985518	0.7195251
chr2	183000000	184000000	gpos75	0.9860891	0.03337041
chr2	184000000	185000000	gpos75	0.3610766	0.0030462374
chr2	185000000	186000000	gpos75	0.70493704	0.056693953
chr2	186000000	187000000	gpos75	0.93015414	0.039209194
chr2	187000000	188000000	gpos75	0.91456085	0.25994283
chr2	189000000	190000000	gneg	0.99739134	0.79037774
chr2	190000000	191000000	gneg	0.9763591	0.6318035
chr2	192000000	193000000	gpos75	0.5629562	0.44977406
chr2	193000000	194000000	gpos75	0.025623713	0.0007340428
chr2	194000000	195000000	gpos75	0.052957244	0.0006477889
chr2	195000000	196000000	gpos75	0.95945346	0.65666145
chr2	197000000	198000000	gneg	0.9966	0.42525578
chr2	198000000	199000000	gneg	0.5439222	0.014020557
chr2	199000000	200000000	gneg	0.9976713	0.62407655
chr2	200000000	201000000	gneg	0.9846139	0.8491391
chr2	201000000	202000000	gneg	0.92526186	0.35630584
chr2	203000000	204000000	gpos50	0.93904436	0.13627914
chr2	205000000	206000000	gneg	0.89672387	0.16104275
chr2	206000000	207000000	gneg	0.9554061	0.26178387
chr2	207000000	208000000	gneg	0.98446596	0.8348727
chr2	209000000	210000000	gpos100	0.58067495	0.023575326
chr2	210000000	211000000	gpos100	0.9874062	0.52439785
chr2	211000000	212000000	gpos100	0.8496621	0.103122115
chr2	212000000	213000000	gpos100	0.84410703	0.14275566
chr2	213000000	214000000	gpos100	0.6006179	0.02404645
chr2	215000000	216000000	gneg	0.96335673	0.8103827
chr2	216000000	217000000	gneg	0.98076457	0.8622136
chr2	217000000	218000000	gneg	0.9779624	0.35277474
chr2	218000000	219000000	gneg	0.9770125	0.86603427
chr2	219000000	220000000	gneg	0.9894666	0.9981267
chr2	221000000	222000000	gpos75	0.7558195	0.3674727
chr2	222000000	223000000	gpos75	0.96337366	0.7264253
chr2	223000000	224000000	gpos75	0.97643125	0.8946167
chr2	226000000	227000000	gpos100	0.99078923	0.58269155
chr2	227000000	228000000	gpos100	0.96683615	0.42190436
chr2	228000000	229000000	gpos100	0.5934048	0.051125944
chr2	229000000	230000000	gpos100	0.99779606	0.33774698
chr2	231000000	232000000	gneg	0.9997104	0.98515433
chr2	232000000	233000000	gneg	0.9995307	0.9908428
chr2	233000000	234000000	gneg	0.94978505	0.80902565
chr2	235000000	236000000	gpos50	0.90724885	0.71825725
chr2	237000000	238000000	gneg	0.9996221	0.9929779
chr2	238000000	239000000	gneg	0.99873346	0.9870546
chr2	239000000	240000000	gneg	0.99640226	0.7533295
chr2	240000000	241000000	gneg	0.9967601	0.9913571
chr2	241000000	242000000	gneg	0.98169327	0.9151555
chr3	0	1000000	gpos50	0.8909172	0.8985826
chr3	1000000	2000000	gpos50	0.138767	0.019756595
chr3	3000000	4000000	gneg	0.8629092	0.35948128
chr3	4000000	5000000	gpos50	0.98437184	0.39189547
chr3	5000000	6000000	gpos50	0.84563977	0.01784465
chr3	6000000	7000000	gpos50	0.33807987	0.01222425
chr3	7000000	8000000	gpos50	0.30027825	0.0018942795
chr3	9000000	10000000	gneg	0.9981135	0.9451154
chr3	10000000	11000000	gneg	0.9990095	0.98003995
chr3	12000000	13000000	gpos25	0.9941269	0.95873576
chr3	14000000	15000000	gneg	0.998004	0.9820957
chr3	15000000	16000000	gneg	0.97900784	0.9666322
chr3	17000000	18000000	gpos100	0.85123694	0.2113036
chr3	18000000	19000000	gpos100	0.9026029	0.10508915
chr3	19000000	20000000	gpos100	0.88887626	0.38618654
chr3	20000000	21000000	gpos100	0.9795379	0.52452624
chr3	21000000	22000000	gpos100	0.5139182	0.15050873
chr3	22000000	23000000	gpos100	0.43596536	0.02582552
chr3	24000000	25000000	gneg	0.95778286	0.100378014
chr3	25000000	26000000	gneg	0.950572	0.03390389
chr3	27000000	28000000	gpos75	0.8005555	0.017038671
chr3	28000000	29000000	gpos75	0.906031	0.57024616
chr3	29000000	30000000	gpos75	0.8260151	0.7141596
chr3	31000000	32000000	gneg	0.93413675	0.40389934
chr3	32000000	33000000	gpos50	0.99591774	0.89924455
chr3	33000000	34000000	gpos50	0.98687637	0.2654362
chr3	34000000	35000000	gpos50	0.118080266	0.0019700807
chr3	35000000	36000000	gpos50	0.7976611	0.13928682
chr3	37000000	38000000	gneg	0.9959912	0.90387005
chr3	38000000	39000000	gneg	0.99695635	0.9923275
chr3	40000000	41000000	gpos75	0.9058014	0.108094096
chr3	41000000	42000000	gpos75	0.9928733	0.017969457
chr3	42000000	43000000	gpos75	0.98636556	0.97142774
chr3	45000000	46000000	gneg	0.9976417	0.9641637
chr3	46000000	47000000	gneg	0.9958754	0.97246313
chr3	47000000	48000000	gneg	0.9613224	0.3429047
chr3	48000000	49000000	gneg	0.9984257	0.9899328
chr3	49000000	50000000	gneg	0.99734503	0.9923968
chr3	51000000	52000000	gpos25	0.94569653	0.51118654
chr3	53000000	54000000	gneg	0.99623054	0.99259585
chr3	55000000	56000000	gpos50	0.9884466	0.5576636
chr3	56000000	57000000	gpos50	0.96271086	0.027106676
chr3	57000000	58000000	gpos50	0.9864551	0.9341425
chr3	59000000	60000000	gneg	0.84372544	0.068585284
chr3	60000000	61000000	gneg	0.94612956	0.20185636
chr3	61000000	62000000	gneg	0.851813	0.11163132
chr3	62000000	63000000	gneg	0.8990219	0.9242577
chr3	64000000	65000000	gpos50	0.9508321	0.8733838
chr3	65000000	66000000	gpos50	0.91072017	0.29556993
chr3	66000000	67000000	gpos50	0.9682597	0.54667395
chr3	67000000	68000000	gpos50	0.91445565	0.08699481
chr3	68000000	69000000	gpos50	0.14504185	0.022574583
chr3	70000000	71000000	gneg	0.98991686	0.16198353
chr3	71000000	72000000	gneg	0.99858886	0.168827
chr3	72000000	73000000	gneg	0.8419294	0.10402063
chr3	73000000	74000000	gneg	0.9646267	0.55556405
chr3	75000000	76000000	gpos75	0.03998477	0.029255452
chr3	76000000	77000000	gpos75	0.4641861	0.45286188
chr3	77000000	78000000	gpos75	0.48234764	0.15141399
chr3	78000000	79000000	gpos75	0.8979834	0.29503244
chr3	80000000	81000000	gneg	0.05717324	0.0046340865
chr3	81000000	82000000	gneg	0.9624861	0.08475893
chr3	82000000	83000000	gneg	0.13018729	0.002222436
chr3	84000000	85000000	gpos75	0.14250425	0.002114869
chr3	85000000	86000000	gpos75	0.50469536	0.0023820694
chr3	86000000	87000000	gpos75	0.8537339	0.0048913923
chr3	88000000	89000000	acen	0.86465794	0.06874028
chr3	89000000	90000000	acen	0.49413258	0.012480129
chr3	91000000	92000000	acen	0.0012157434	0.00041455872
chr3	92000000	93000000	acen	0.0012674056	0.0020181802
chr3	93000000	94000000	acen	0.367488	0.006641097
chr3	94000000	95000000	gvar	0.8813395	0.17706709
chr3	95000000	96000000	gvar	0.13085906	0.0018762944
chr3	96000000	97000000	gvar	0.102836005	0.0019887865
chr3	97000000	98000000	gvar	0.9017636	0.3367852
chr3	99000000	100000000	gneg	0.9674849	0.9310318
chr3	102000000	103000000	gneg	0.62616825	0.5503723
chr3	104000000	105000000	gpos75	0.29036182	0.058423437
chr3	105000000	106000000	gpos75	0.9146313	0.072130136
chr3	107000000	108000000	gneg	0.9624061	0.582827
chr3	109000000	110000000	gpos50	0.47150242	0.004201831
chr3	110000000	111000000	gpos50	0.25558946	0.01898186
chr3	112000000	113000000	gneg	0.98444796	0.13953705
chr3	114000000	115000000	gpos75	0.97174275	0.5096236
chr3	115000000	116000000	gpos75	0.9787714	0.52327204
chr3	116000000	117000000	gpos75	0.8591461	0.43841004
chr3	118000000	119000000	gneg	0.7568347	0.02475283
chr3	120000000	121000000	gpos75	0.8421261	0.30292714
chr3	121000000	122000000	gpos75	0.983113	0.43906733
chr3	123000000	124000000	gneg	0.99827933	0.97452605
chr3	125000000	126000000	gpos25	0.9717862	0.48893142
chr3	127000000	128000000	gneg	0.99829954	0.9926924
chr3	128000000	129000000	gneg	0.9989969	0.99766856
chr3	130000000	131000000	gpos25	0.13545398	0.07819118
chr3	131000000	132000000	gpos25	0.9499205	0.34691492
chr3	132000000	133000000	gpos25	0.988827	0.26010475
chr3	133000000	134000000	gpos25	0.9968562	0.98276365
chr3	134000000	135000000	gneg	0.9829145	0.86703753
chr3	135000000	136000000	gneg	0.6992536	0.03278051
chr3	136000000	137000000	gpos25	0.9910546	0.5027915
chr3	137000000	138000000	gpos25	0.55555826	0.02653244
chr3	138000000	139000000	gpos25	0.9898206	0.9344286
chr3	139000000	140000000	gneg	0.98583984	0.3940002
chr3	140000000	141000000	gneg	0.81715244	0.47324497
chr3	141000000	142000000	gneg	0.99203956	0.8733186
chr3	142000000	143000000	gneg	0.95777905	0.5542116
chr3	144000000	145000000	gpos100	0.69658107	0.08529306
chr3	145000000	146000000	gpos100	0.058071446	0.011875705
chr3	146000000	147000000	gpos100	0.9474619	0.42960525
chr3	147000000	148000000	gpos100	0.9121431	0.26422316
chr3	148000000	149000000	gpos100	0.9703699	0.38612938
chr3	150000000	151000000	gneg	0.99349374	0.9686667
chr3	151000000	152000000	gneg	0.9349121	0.30304724
chr3	153000000	154000000	gpos50	0.8581653	0.19801073
